SYMBOL,OPEN,HIGH,LOW,PREV_CLOSE,LTP,INDICATIVE_CLOSE,CHANGE,CHANGE_PERCENT,VOLUME,VALUE,52W_HIGH,52W_LOW,30D_CHANGE_PERCENT
NIFTY OIL & GAS,"11,354.30","11,449.40","11,328.50","11,356.40","11,423.80",-,67.40,0.59,"72,94,231",354.27,"13,607.20","4,632.70",-4.04
MGL,"1,370.90","1,418.00","1,361.10","1,379.80","1,415.80",-,36.00,2.61,"1,22,805",17.12,"1,988.00","1,075.25",-8.73
IGL,201.03,206.47,201.03,201.02,205.85,-,4.83,2.40,"10,38,659",21.24,285.18,153.05,-6.12
ATGL,627.95,637.00,623.85,624.10,637.00,-,12.90,2.07,"1,65,091",10.40,941.90,532.60,-8.55
PETRONET,297.60,307.55,296.30,301.75,306.55,-,4.80,1.59,"7,58,892",22.96,384.20,269.60,-0.21
HINDPETRO,422.50,429.95,422.40,421.80,428.20,-,6.40,1.52,"3,69,957",15.78,457.15,287.55,-3.92
IOC,146.96,148.64,146.70,146.96,148.03,-,1.07,0.73,"8,03,840",11.88,185.97,110.72,-0.18
GUJGASLTD,461.25,465.10,459.45,460.30,463.35,-,3.05,0.66,"10,109",0.47,689.95,360.25,-2.21
GAIL,183.51,185.62,183.15,183.51,184.69,-,1.18,0.64,"12,01,851",22.18,246.30,150.52,-3.93
CASTROLIND,221.66,224.99,221.34,222.24,223.51,-,1.27,0.57,"3,31,260",7.41,284.40,162.60,2.41
BPCL,332.35,335.95,331.00,332.90,334.75,-,1.85,0.56,"4,58,672",15.31,376.00,234.01,-0.03
OIL,436.80,439.00,432.30,434.75,437.20,-,2.45,0.56,"1,74,704",7.62,767.90,325.00,0.31
RELIANCE,"1,392.30","1,399.80","1,385.40","1,391.70","1,395.20",-,3.50,0.25,"13,49,941",187.92,"1,551.00","1,114.85",-8.16
GSPL,323.40,325.15,320.25,323.55,324.30,-,0.75,0.23,"41,062",1.33,469.70,261.45,-2.01
ONGC,240.29,241.33,239.65,240.29,240.15,-,-0.14,-0.06,"4,38,803",10.56,345.00,205.00,-1.05
AEGISLOG,736.00,736.00,726.25,736.20,735.00,-,-1.20,-0.16,"28,585",2.09,"1,037.00",609.85,-5.75
